##Temp./°C	DSC/(mW/mg)
	GFP
33,57889	-0,0854229259056416
33,82889	-0,116480925905642
34,07889	-0,127515925905642
34,32889	-0,130867925905642
34,57889	-0,131228925905642
34,82889	-0,127678925905642
35,07889	-0,121287925905642
35,32889	-0,113192925905642
35,57889	-0,104752925905642
35,82889	-0,0946759259056416
36,07889	-0,0837029259056416
36,32889	-0,0738129259056416
36,57889	-0,0636812259056416
36,82889	-0,0526100259056416
37,07889	-0,0426959259056416
37,32889	-0,0322059259056416
37,57889	-0,0237789259056416
37,82889	-0,0143649259056416
38,07889	-0,00616992590564164
38,32889	9,6007409435836E-4
38,57889	0,00912507409435835
38,82889	0,0146560740943584
39,07889	0,0205170740943584
39,32889	0,0259390740943584
39,57889	0,0298500740943584
39,82889	0,0345020740943584
40,07889	0,0367470740943584
40,32889	0,0387600740943583
40,57889	0,0412050740943584
40,82889	0,0423280740943583
41,07889	0,0425860740943584
41,32889	0,0429480740943584
41,57889	0,0425590740943584
41,82889	0,0416580740943584
42,07889	0,0403470740943584
42,32889	0,0388820740943584
42,57889	0,0367350740943584
42,82889	0,0347500740943584
43,07889	0,0325220740943584
43,32889	0,0300170740943584
43,57889	0,0271930740943584
43,82889	0,0258750740943584
44,07889	0,0235320740943584
44,32889	0,0217300740943584
44,57889	0,0196910740943584
44,82889	0,0180700740943584
45,07889	0,0165190740943584
45,32889	0,0153880740943584
45,57889	0,0131470740943584
45,82889	0,00840407409435835
46,07889	0,00347307409435835
46,32889	-6,5592590564164E-4
46,57889	-0,00454592590564164
46,82889	-0,00675992590564165
47,07889	-0,00867992590564164
47,32889	-0,0107119259056416
47,57889	-0,0106379259056416
47,82889	-0,0111229259056416
48,07889	-0,0113429259056416
48,32889	-0,0110879259056416
48,57889	-0,0109609259056416
48,82889	-0,0102339259056416
49,07889	-0,00938892590564164
49,32889	-0,00894992590564164
49,57889	-0,00828492590564164
49,82889	-0,00786992590564164
50,07889	-0,00661092590564164
50,32889	-0,00594392590564165
50,57889	-0,00519892590564164
50,82889	-0,00444292590564165
51,07889	-0,00395892590564165
51,32889	-0,00286392590564165
51,57889	-0,00230692590564164
51,82889	-0,00218792590564164
52,07889	-0,00134092590564164
52,32889	-6,61925905641646E-4
52,57889	-7,69925905641643E-4
52,82889	4,02074094358364E-4
53,07889	8,48074094358352E-4
53,32889	0,00102307409435835
53,57889	0,00122507409435836
53,82889	0,00171807409435836
54,07889	0,00261207409435835
54,32889	0,00237407409435836
54,57889	0,00272307409435835
54,82889	0,00349307409435836
55,07889	0,00372407409435836
55,32889	0,00390007409435836
55,57889	0,00372107409435835
55,82889	0,00415307409435836
56,07889	0,00403007409435836
56,32889	0,00458407409435836
56,57889	0,00511307409435836
56,82889	0,00490407409435836
57,07889	0,00522907409435835
57,32889	0,00552707409435835
57,57889	0,00597607409435836
57,82889	0,00584907409435836
58,07889	0,00624107409435836
58,32889	0,00714607409435836
58,57889	0,00702807409435835
58,82889	0,00742007409435835
59,07889	0,00742207409435836
59,32889	0,00771607409435836
59,57889	0,00785907409435836
59,82889	0,00836307409435835
60,07889	0,00906707409435836
60,32889	0,00961707409435836
60,57889	0,00995007409435836
60,82889	0,00964907409435836
61,07889	0,0101360740943584
61,32889	0,0100220740943584
61,57889	0,0114710740943584
61,82889	0,0118980740943584
62,07889	0,0122220740943584
62,32889	0,0119830740943584
62,57889	0,0123680740943584
62,82889	0,0127230740943584
63,07889	0,0130920740943584
63,32889	0,0133520740943584
63,57889	0,0143280740943584
63,82889	0,0142970740943584
64,07889	0,0149020740943584
64,32889	0,0147650740943584
64,57889	0,0150250740943584
64,82889	0,0154950740943584
65,07889	0,0157500740943584
65,32889	0,0163270740943584
65,57889	0,0163550740943584
65,82889	0,0172310740943584
66,07889	0,0171430740943583
66,32889	0,0172060740943584
66,57889	0,0179490740943584
66,82889	0,0183400740943584
67,07889	0,0188590740943584
67,32889	0,0193760740943584
67,57889	0,0191240740943584
67,82889	0,0203070740943584
68,07889	0,0201590740943584
68,32889	0,0205100740943584
68,57889	0,0206630740943584
68,82889	0,0206260740943583
69,07889	0,0219800740943584
69,32889	0,0216490740943584
69,57889	0,0227850740943584
69,82889	0,0225320740943584
70,07889	0,0231210740943584
70,32889	0,0235420740943584
70,57889	0,0236200740943584
70,82889	0,0242920740943584
71,07889	0,0244980740943583
71,32889	0,0248010740943584
71,57889	0,0252120740943584
71,82889	0,0256380740943584
72,07889	0,0259270740943584
72,32889	0,0266250740943584
72,57889	0,0268120740943584
72,82889	0,0269320740943584
73,07889	0,0271110740943584
73,32889	0,0275370740943584
73,57889	0,0282700740943584
73,82889	0,0285810740943584
74,07889	0,0296240740943584
74,32889	0,0298480740943584
74,57889	0,0307360740943584
74,82889	0,0302650740943584
75,07889	0,0308870740943584
75,32889	0,0310620740943584
75,57889	0,0314270740943584
75,82889	0,0318750740943584
76,07889	0,0319520740943584
76,32889	0,0336400740943584
76,57889	0,0331240740943584
76,82889	0,0339850740943584
77,07889	0,0340860740943584
77,32889	0,0341760740943584
77,57889	0,0347140740943584
77,82889	0,0357810740943584
78,07889	0,0362640740943584
78,32889	0,0367200740943584
78,57889	0,0369920740943584
78,82889	0,0375950740943583
79,07889	0,0380910740943584
79,32889	0,0387210740943583
79,57889	0,0391660740943584
79,82889	0,0394840740943583
80,07889	0,0401280740943584
80,32889	0,0404180740943584
80,57889	0,0407090740943584
80,82889	0,0417190740943584
81,07889	0,0424000740943584
81,32889	0,0427100740943584
81,57889	0,0434000740943584
81,82889	0,0440280740943584
82,07889	0,0451340740943584
82,32889	0,0452340740943584
82,57889	0,0458440740943584
82,82889	0,0467340740943584
83,07889	0,0472640740943584
83,32889	0,0483540740943584
83,57889	0,0490240740943584
83,82889	0,0498940740943584
84,07889	0,0499540740943584
84,32889	0,0509640740943584
84,57889	0,0514540740943584
84,82889	0,0523440740943584
85,07889	0,0533340740943584
85,32889	0,0539340740943584
85,57889	0,0549640740943584
85,82889	0,0556140740943584
86,07889	0,0564540740943584
86,32889	0,0565940740943584
86,57889	0,0575340740943584
86,82889	0,0580940740943584
87,07889	0,0585340740943584
87,32889	0,0595840740943584
87,57889	0,0603540740943584
87,82889	0,0605340740943584
88,07889	0,0609440740943584
88,32889	0,0616240740943584
88,57889	0,0617040740943584
88,82889	0,0624840740943584
89,07889	0,0631640740943584
89,32889	0,0634740740943584
89,57889	0,0633740740943584
89,82889	0,0643740740943584
90,07889	0,0645140740943584
90,32889	0,0654140740943584
90,57889	0,0649540740943584
90,82889	0,0655140740943584
91,07889	0,0655640740943584
91,32889	0,0658740740943584
91,57889	0,0664040740943584
91,82889	0,0660740740943584
92,07889	0,0664740740943584
92,32889	0,0668340740943584
92,57889	0,0672340740943584
92,82889	0,0673540740943584
93,07889	0,0677640740943584
93,32889	0,0677140740943584
93,57889	0,0681440740943584
93,82889	0,0687240740943584
94,07889	0,0687340740943584
94,32889	0,0692440740943584
94,57889	0,0693540740943584
94,82889	0,0692840740943584
95,07889	0,0697840740943584
95,32889	0,0700440740943584
95,57889	0,0703640740943584
95,82889	0,0708040740943583
96,07889	0,0716140740943584
96,32889	0,0712540740943584
96,57889	0,0716940740943584
96,82889	0,0719440740943584
97,07889	0,0724440740943584
97,32889	0,0728640740943584
97,57889	0,0728340740943584
97,82889	0,0736340740943583
98,07889	0,0737240740943584
98,32889	0,0746240740943584
98,57889	0,0747240740943584
98,82889	0,0746540740943584
99,07889	0,0751140740943584
99,32889	0,0757440740943583
99,57889	0,0764940740943584
99,82889	0,0770340740943584
100,07889	0,0768640740943584
100,32889	0,0772740740943584
100,57889	0,0779240740943584
100,82889	0,0782140740943583
101,07889	0,0785240740943584
101,32889	0,0786140740943584
101,57889	0,0797940740943583
101,82889	0,0797840740943584
102,07889	0,0797940740943583
102,32889	0,0800940740943584
102,57889	0,0803940740943584
102,82889	0,0810240740943584
103,07889	0,0814740740943584
103,32889	0,0813540740943584
103,57889	0,0820340740943584
103,82889	0,0820540740943584
104,07889	0,0828040740943584
104,32889	0,0831740740943584
104,57889	0,0833240740943584
104,82889	0,0842240740943584
105,07889	0,0845640740943584
105,32889	0,0849840740943583
105,57889	0,0853040740943584
105,82889	0,0856640740943584
106,07889	0,0859140740943584
106,32889	0,0870240740943584
106,57889	0,0871740740943583
106,82889	0,0877140740943584
107,07889	0,0873640740943584
107,32889	0,0880040740943584
107,57889	0,0889140740943584
107,82889	0,0893240740943584
108,07889	0,0901740740943583
108,32889	0,0897540740943584
108,57889	0,0908040740943584
108,82889	0,0910040740943583
109,07889	0,0917140740943584
109,32889	0,0922440740943584
109,57889	0,0927840740943583
109,82889	0,0933840740943584
110,07889	0,0940440740943584
110,32889	0,0939940740943584
110,57889	0,0946140740943583
110,82889	0,0951440740943584
111,07889	0,0951540740943584
111,32889	0,0959640740943584
111,57889	0,0965940740943584
111,82889	0,0971840740943584
112,07889	0,0974740740943583
112,32889	0,0978040740943583
112,57889	0,0980940740943584
112,82889	0,0983540740943584
113,07889	0,0989040740943584
113,32889	0,0997140740943584
113,57889	0,0999040740943584
113,82889	0,0998740740943584
114,07889	0,100944074094358
114,32889	0,101054074094358
114,57889	0,101704074094358
114,82889	0,102064074094358
115,07889	0,102674074094358
115,32889	0,102764074094358
115,57889	0,103534074094358
115,82889	0,103754074094358
116,07889	0,103884074094358
116,32889	0,104704074094358
116,57889	0,105124074094358
116,82889	0,105984074094358
117,07889	0,106274074094358
117,32889	0,106764074094358
117,57889	0,107124074094358
117,82889	0,107984074094358
118,07889	0,108504074094358
118,32889	0,108644074094358
118,57889	0,109324074094358
118,82889	0,109204074094358
119,07889	0,110014074094358
119,32889	0,110284074094358
119,57889	0,110534074094358
119,82889	0,111644074094358
120,07889	0,112084074094358
120,32889	0,112934074094358
120,57889	0,113234074094358
120,82889	0,113414074094358
121,07889	0,114144074094358
121,32889	0,114694074094358
121,57889	0,114874074094358
121,82889	0,115994074094358
122,07889	0,116044074094358
122,32889	0,116324074094358
122,57889	0,117604074094358
122,82889	0,118084074094358
123,07889	0,118444074094358
123,32889	0,118474074094358
123,57889	0,119584074094358
123,82889	0,120064074094358
124,07889	0,120564074094358
124,32889	0,121154074094358
124,57889	0,121894074094358
