Temp	G10
°C	W/g
	GEF
34,954	-0,0251464935064935
35,954	0,00254088311688312
36,954	0,033451948051948
37,954	0,0558545454545455
38,954	0,070787012987013
39,954	0,0781142857142857
40,954	0,0785662337662338
41,954	0,0733636363636364
42,954	0,0663896103896104
43,954	0,0580545454545454
44,954	0,051
45,954	0,0471558441558442
46,954	0,0457714285714286
47,954	0,0462
48,954	0,0481376623376623
49,954	0,0500727272727273
50,954	0,0513090909090909
51,954	0,0527688311688312
52,954	0,0538415584415584
53,954	0,0546545454545455
54,954	0,0553662337662338
55,954	0,0558181818181818
56,954	0,0561376623376623
57,954	0,0562493506493506
58,954	0,0569116883116883
59,954	0,0572519480519481
60,954	0,0581558441558441
61,954	0,0583506493506493
62,954	0,059212987012987
63,954	0,059748051948052
64,954	0,0605766233766234
65,954	0,0610831168831169
66,954	0,0617168831168831
67,954	0,0626077922077922
68,954	0,0634155844155844
69,954	0,0641922077922078
70,954	0,0648597402597403
71,954	0,0660779220779221
72,954	0,0663454545454545
73,954	0,0673818181818182
74,954	0,0685480519480519
75,954	0,0690571428571429
76,954	0,070051948051948
77,954	0,0708285714285714
78,954	0,0718363636363636
79,954	0,0729714285714286
80,954	0,0736
81,954	0,0748467532467533
82,954	0,0753818181818182
83,954	0,0759428571428571
84,954	0,0766337662337662
85,954	0,077561038961039
86,954	0,0785818181818182
87,954	0,0792337662337662
88,954	0,080387012987013
89,954	0,0811428571428571
90,954	0,0821480519480519
91,954	0,0831090909090909
92,954	0,084238961038961
93,954	0,0854181818181818
94,954	0,0861272727272727
95,954	0,0868831168831169
96,954	0,0882363636363636
97,954	0,0887402597402597
98,954	0,0896623376623377
99,954	0,0909896103896104
100,954	0,0914623376623377
101,954	0,0934051948051948
102,954	0,0940051948051948
103,954	0,0953376623376623
104,954	0,0962597402597403
105,954	0,0971922077922078
106,954	0,0982545454545455
107,954	0,0998987012987013
108,954	0,100971428571429
109,954	0,101906493506494
110,954	0,103384415584416
111,954	0,104693506493506
112,954	0,105971428571429
113,954	0,10721038961039
114,954	0,108750649350649
115,954	0,109932467532468
116,954	0,112114285714286
117,954	0,112828571428571
118,954	0,114857142857143
119,954	0,11658961038961
120,954	0,118581818181818
121,954	0,120057142857143
122,954	0,121823376623377
123,954	0,124174025974026
124,954	0,126444155844156
125,954	0,128784415584416
126,954	0,1314
127,954	0,133475324675325
128,954	0,135924675324675
129,954	0,139012987012987
130,954	0,141477922077922
131,954	0,144950649350649
132,954	0,149075324675325
133,954	0,15234025974026
134,954	0,156374025974026
135,954	0,159979220779221
136,954	0,164701298701299
137,954	0,16918961038961
138,954	0,174361038961039
139,954	0,17885974025974
140,954	0,184454545454545
141,954	0,18947012987013
142,954	0,195844155844156
143,954	0,201475324675325
144,954	0,207545454545455
145,954	0,213519480519481
146,954	0,219522077922078
147,954	0,225716883116883
148,954	0,230823376623377
149,954	0,235706493506494
150,954	0,238974025974026
151,954	0,240838961038961
152,954	0,239745454545455
153,954	0,234420779220779
154,954	0,223854545454545
155,954	0,209418181818182
156,954	0,191503896103896
157,954	0,172841558441558
158,954	0,154784415584416
159,954	0,141332467532468
160,954	0,132696103896104
161,954	0,126727272727273
162,954	0,12345974025974
163,954	0,121488311688312
164,954	0,12054025974026
165,954	0,119997402597403
166,954	0,119111688311688
167,954	0,119103896103896
168,954	0,118618181818182
169,954	0,118688311688312
170,954	0,119109090909091
171,954	0,118628571428571
172,954	0,118971428571429
173,954	0,119311688311688
174,954	0,119787012987013
175,954	0,120405194805195
176,954	0,121088311688312
177,954	0,121223376623377
178,954	0,121496103896104
179,954	0,122314285714286
180,954	0,122387012987013
181,954	0,122867532467532
182,954	0,123
183,954	0,123750649350649
184,954	0,123750649350649
185,954	0,124238961038961
186,954	0,124903896103896
187,954	0,124371428571429
188,954	0,125179220779221
189,954	0,125594805194805
190,954	0,12565974025974
191,954	0,126075324675325
192,954	0,126075324675325
193,954	0,126893506493506
194,954	0,127098701298701
195,954	0,127096103896104
196,954	0,127163636363636
197,954	0,127711688311688
198,954	0,128327272727273
199,954	0,129018181818182
200,954	0,128880519480519
201,954	0,129283116883117
202,954	0,129493506493506
203,954	0,129971428571429
204,954	0,129974025974026
205,954	0,130174025974026
206,954	0,130779220779221
207,954	0,130942857142857
208,954	0,131335064935065
209,954	0,131527272727273
210,954	0,131953246753247
211,954	0,132285714285714
212,954	0,132898701298701
213,954	0,132706493506494
214,954	0,133116883116883
215,954	0,13338961038961
216,954	0,13338961038961
217,954	0,133794805194805
218,954	0,134132467532468
219,954	0,13461038961039
220,954	0,134755844155844
221,954	0,135155844155844
222,954	0,135290909090909
223,954	0,135646753246753
224,954	0,135849350649351
225,954	0,136392207792208
226,954	0,136246753246753
227,954	0,136932467532468
228,954	0,137420779220779
229,954	0,137545454545455
230,954	0,137488311688312
231,954	0,138023376623377
232,954	0,138368831168831
233,954	0,138233766233766
234,954	0,138981818181818
235,954	0,138649350649351
236,954	0,139301298701299
237,954	0,139644155844156
238,954	0,140202597402597
239,954	0,140374025974026
