	G_PS
549.8	0.146511184338493
551.729	0.146618184338493
553.658	0.130976184338492
555.588	0.126296184338492
557.517	0.146501184338493
559.446	0.153645184338493
561.375	0.136167184338493
563.304	0.124669184338493
565.233	0.116894184338493
567.162	0.106834684338493
569.091	0.116210184338493
571.021	0.133928184338493
572.95	0.127997184338493
574.879	0.114158184338493
576.808	0.117559184338492
578.737	0.127171184338493
580.666	0.126854184338493
582.595	0.125863184338493
584.524	0.135252184338493
586.454	0.141885184338493
588.383	0.140439184338493
590.312	0.149994184338493
592.241	0.160061184338493
594.17	0.143794184338493
596.099	0.129859184338493
598.028	0.144905184338493
599.957	0.163359184338493
601.887	0.158425184338493
603.816	0.144906184338493
605.745	0.142937184338493
607.674	0.149993184338493
609.603	0.145226184338493
611.532	0.124470184338493
613.461	0.109578084338493
615.39	0.105229884338493
617.32	0.101593084338492
619.249	0.103576984338493
621.178	0.106690984338492
623.107	0.0934290843384926
625.036	0.0769710843384925
626.965	0.0806035843384927
628.894	0.0929363843384925
630.823	0.0946098843384928
632.753	0.0926134843384925
634.682	0.0946098843384928
636.611	0.0949029843384928
638.54	0.0974558843384927
640.469	0.107119684338493
642.398	0.110048684338492
644.327	0.100470184338493
646.256	0.0955469843384926
648.186	0.102502584338493
650.115	0.107893484338493
652.044	0.101707184338493
653.973	0.0917106843384925
655.902	0.0889761843384926
657.831	0.0920977843384927
659.76	0.0938823843384928
661.689	0.0948855843384928
663.619	0.0963341843384926
665.548	0.0977874843384927
667.477	0.0992453843384928
669.406	0.100707884338493
671.335	0.102175184338493
673.264	0.103647184338493
675.193	0.104256784338493
677.122	0.104894284338493
679.052	0.105579984338493
680.981	0.0997989843384928
682.91	0.0936673843384925
684.839	0.0990679843384927
686.768	0.110879484338493
688.697	0.116165184338493
690.626	0.111632684338493
692.555	0.103877484338493
694.485	0.100289284338493
696.414	0.0993688843384928
698.343	0.0954157843384928
700.272	0.0921882843384925
702.201	0.0952731843384926
704.13	0.100555284338493
706.059	0.102707684338493
707.988	0.102114484338493
709.917	0.101177384338493
711.847	0.102872184338493
713.776	0.108439784338493
715.705	0.114438184338493
717.634	0.116724184338493
719.563	0.116537184338493
721.492	0.118925184338493
723.421	0.122368184338493
725.35	0.119672184338492
727.28	0.114109184338492
729.209	0.115706184338493
731.138	0.122165184338493
733.067	0.125853184338493
734.996	0.129480184338493
736.925	0.136035184338493
738.854	0.141484184338493
740.783	0.144763184338493
742.713	0.147220184338493
744.642	0.147280184338493
746.571	0.145379184338493
748.5	0.142985184338493
750.429	0.139331184338493
752.358	0.136661184338493
754.287	0.136982184338493
756.216	0.136641184338492
758.146	0.135766184338493
760.075	0.138613184338493
762.004	0.141499184338493
763.933	0.139576184338493
765.862	0.136725184338493
767.791	0.135641184338493
769.72	0.134742184338493
771.649	0.134329184338493
773.579	0.133937184338492
775.508	0.133254184338492
777.437	0.134755184338493
779.366	0.137140184338493
781.295	0.137654184338493
783.224	0.140182184338493
785.153	0.147940184338493
787.082	0.157948184338493
789.012	0.169983184338493
790.941	0.187992184338493
792.87	0.210447184338493
794.799	0.229820184338493
796.728	0.243351184338493
798.657	0.257467184338493
800.586	0.277394184338493
802.515	0.298372184338493
804.445	0.314279184338492
806.374	0.329065184338492
808.303	0.348787184338493
810.232	0.371276184338492
812.161	0.392453184338493
814.09	0.411274184338493
816.019	0.427587184338492
817.948	0.449867184338493
819.878	0.492715184338492
821.807	0.558537184338493
823.736	0.641710184338493
825.665	0.743463184338493
827.594	0.856249184338493
829.523	0.970631184338492
831.452	1.13091518433849
833.381	1.42679518433849
835.311	1.96117518433849
837.24	2.01375518433849
839.169	1.33996518433849
841.098	0.931108184338493
843.027	0.701983184338493
844.956	0.564812184338493
846.885	0.457240184338493
848.814	0.366874184338493
850.744	0.310051184338493
852.673	0.288543184338493
854.602	0.286298184338493
856.531	0.290550184338493
858.46	0.304384184338493
860.389	0.339612184338493
862.318	0.406181184338493
864.247	0.512044184338493
866.177	0.672591184338493
868.106	0.916436184338493
870.035	1.25297518433849
871.964	1.49523518433849
873.893	1.38742518433849
875.822	1.17797518433849
877.751	0.974774184338493
879.68	0.800504184338493
881.609	0.675688184338493
883.539	0.586002184338493
885.468	0.506818184338492
887.397	0.430467184338493
889.326	0.359168184338493
891.255	0.296116184338493
893.184	0.245474184338493
895.113	0.208773184338493
897.042	0.183892184338493
898.972	0.167378184338493
900.901	0.155130184338493
902.83	0.144436184338493
904.759	0.135885184338493
906.688	0.129879184338493
908.617	0.123558184338493
910.546	0.115002184338493
912.475	0.107225284338492
914.405	0.102505784338493
916.334	0.0973066843384927
918.263	0.0900327843384927
920.192	0.0863551843384927
922.121	0.0884506843384925
924.05	0.0893232843384926
925.979	0.0844526843384927
927.908	0.0780816843384926
929.838	0.0747825843384926
931.767	0.0747984843384928
933.696	0.0757702843384926
935.625	0.0747332843384925
937.554	0.0726587843384925
939.483	0.0743410843384926
941.412	0.0796799843384925
943.341	0.0826483843384929
945.271	0.0811621843384924
947.2	0.0787223843384925
949.129	0.0767088843384927
951.058	0.0736992843384927
952.987	0.0706844843384928
954.916	0.0704574843384926
956.845	0.0722151843384928
958.774	0.0725793843384928
960.704	0.0720623843384924
962.633	0.0730506843384928
964.562	0.0741083843384929
966.491	0.0746295843384925
968.42	0.0776775843384927
970.349	0.0829589843384926
972.278	0.0874840843384925
974.207	0.0914683843384925
976.137	0.0947285843384926
978.066	0.0956936843384928
979.995	0.0967176843384925
981.924	0.100127184338493
983.853	0.103770284338493
985.782	0.106868584338493
987.711	0.111413584338492
989.64	0.116407184338493
991.57	0.119506184338493
993.499	0.122271184338492
995.428	0.127171184338493
997.357	0.132822184338492
999.286	0.136709184338493
1001.22	0.139550184338493
1003.14	0.143821184338492
1005.07	0.150486184338493
1007	0.158267184338493
1008.93	0.164443184338493
1010.86	0.168015184338493
1012.79	0.172157184338493
1014.72	0.179884184338493
1016.65	0.189470184338493
1018.58	0.197733184338493
1020.51	0.204508184338493
1022.44	0.211212184338493
